,timestamp,symbol,open,high,low,close,volume,trade_count,SMA_20,SMA_50,SMA_100,Volatility,Bollinger_Upper,Bollinger_Lower,Momentum_5,sentiment_score,likes,weighted_sentiment,next_open
145,2024-10-01 16:45:00+00:00,AAPL,224.49,224.99,224.3,224.78,61521.0,,225.57533333333333,225.57533333333333,225.57533333333333,1.072704474161212,227.72074228165576,223.4299243850109,0.2599999999999909,0.0,0,0.0,224.745
156,2024-10-01 17:00:00+00:00,AAPL,224.745,224.77,224.21,224.21,40500.0,,225.49,225.49,225.49,1.0899555610191693,227.66991112203834,223.31008887796168,-0.5699999999999932,0.0,0,0.0,224.19
167,2024-10-01 17:15:00+00:00,AAPL,224.19,224.22,223.75,223.98,33697.0,,225.40117647058824,225.40117647058824,225.40117647058824,1.1155063864752444,227.63218924353873,223.17016369763775,-0.2300000000000182,0.0,0,0.0,223.93
178,2024-10-01 17:30:00+00:00,AAPL,223.93,224.64,223.88,224.53,43286.0,,225.35277777777776,225.35277777777776,225.35277777777776,1.1022908244837049,227.55735942674517,223.14819612881035,0.5500000000000114,0.0,0,0.0,224.545
189,2024-10-01 17:45:00+00:00,AAPL,224.545,225.15,224.37,225.13,32559.0,,225.34105263157892,225.34105263157892,225.34105263157892,1.0740437349616418,227.48914010150222,223.19296516165562,0.5999999999999943,0.0,0,0.0,225.17
200,2024-10-01 18:00:00+00:00,AAPL,225.17,225.56,225.09,225.44,30508.0,,225.346,225.346,225.346,1.047070436983893,227.44014087396778,223.25185912603223,0.3100000000000023,0.0,0,0.0,225.42
211,2024-10-01 18:15:00+00:00,AAPL,225.42,225.63,225.19,225.475,28659.0,,225.16275000000002,225.35214285714287,225.35214285714287,0.5864180995580379,226.33558619911608,223.98991380088395,0.03499999999999659,0.0,0,0.0,225.45
222,2024-10-01 18:30:00+00:00,AAPL,225.45,225.71,225.25,225.43,28890.0,,225.10675,225.3556818181818,225.3556818181818,0.49809455678396747,226.10293911356794,224.11056088643207,-0.044999999999987494,0.0,0,0.0,225.52
233,2024-10-01 18:45:00+00:00,AAPL,225.52,225.62,225.35,225.62,30819.0,,225.08325,225.36717391304347,225.36717391304347,0.46084507972336786,226.00494015944673,224.16155984055325,0.18999999999999773,0.0,0,0.0,225.61
244,2024-10-01 19:00:00+00:00,AAPL,225.61,225.895,225.54,225.88,24857.0,,225.10774999999998,225.38854166666667,225.38854166666667,0.48868567352523173,226.08512134705043,224.13037865294953,0.2599999999999909,0.0,0,0.0,225.855
255,2024-10-01 19:15:00+00:00,AAPL,225.855,226.18,225.75,226.18,40721.0,,225.17024999999998,225.4202,225.4202,0.5392714413955659,226.24879288279112,224.09170711720884,0.30000000000001137,0.0,0,0.0,226.13
266,2024-10-01 19:30:00+00:00,AAPL,226.13,226.33,225.935,226.185,65748.0,,225.21975000000003,225.44961538461536,225.44961538461536,0.5829396945514902,226.385629389103,224.05387061089706,0.0049999999999954525,0.0,0,0.0,226.18
277,2024-10-01 19:45:00+00:00,AAPL,226.18,226.27,225.9,226.205,107721.0,,225.266,225.4775925925926,225.4775925925926,0.6213163445482802,226.50863268909654,224.02336731090344,0.020000000000010232,0.0,0,0.0,226.095
291,2024-10-02 13:30:00+00:00,AAPL,226.095,226.095,223.81,223.81,86626.0,,225.21625,225.4180357142857,225.4180357142857,0.6920474604406742,226.60034492088135,223.83215507911865,,0.0,0,0.0,223.65
302,2024-10-02 13:45:00+00:00,AAPL,223.65,224.595,223.22,223.44,50442.0,,225.11525,225.3498275862069,225.3498275862069,0.7896272459201171,226.69450449184023,223.53599550815977,-0.37000000000000455,0.0,0,0.0,223.36
